"ref_id","frequence_m","frequence_f",
"0","260","149",
"1","422","60",
"2","1706","90",
"3","6072","3324",
"4","3159","147",
"5","380","67",
"6","1377","818",
"7","166","95",
"8","591","218",
"9","1500","76",
"10","1577","197",
"11","1395","340",
"12","3400","58",
"13","140","660",
"14","4437","2533",
"15","8706","2268",
"16","2316","439",
"17","476","405",
"18","236","467",
"19","2970","676",
"20","153","192",
"21","306","57",
"22","407","422",
"23","504","115",
"24","26411","3898",
"25","268","119",
"26","12774","2048",
"27","66","50",
"28","380","107",
"29","243","69",
"30","171","66",
"31","85","54",
"32","482","130",
"33","764","1097",
"34","352","141",
"35","331","134",
"36","282","233",
"37","319","255",
"38","151","116",
"39","20402","2072",
"40","1901","190",
"41","234","122",
"42","17704","3726",
"43","174","120",
"44","435","97",
"45","7936","2141",
"46","4958","3476",
"47","2303","212",
"48","85","167",
"49","3864","785",
"50","124","106",
"51","3343","60",
"52","3819","226",
"53","1148","468",
"54","557","137",
"55","883","72",
"56","61","71",
"57","6656","2034",
"58","56","490",
"59","5287","406",
"60","955","59",
"61","269","111",
"62","8308","3485",
"63","529","53",
"64","3750","2453",
"65","363","114",
"66","3103","2387",
"67","3813","142",
"68","740","117",
"69","963","62",
"70","776","163",
"71","216","76",
"72","1729","1217",
"73","7560","2365",
"74","1208","322",
"75","3354","95",
"76","843","190",
"77","1060","921",
"78","797","591",
"79","92","374",
"80","1297","203",
"81","1005","444",
"82","1604","71",
"83","910","402",
"84","136","148",
"85","289","114",
"86","2008","188",
"87","831","67",
"88","217","94",
"89","594","1099",
"90","270","96",
"91","1141","1152",
"92","178","195",
"93","59","53",
"94","191","80",
"95","1194","581",
"96","216","75",
"97","2309","6195",
"98","264","244",
"99","1260","387",
"100","10730","360",
"101","551","89",
"102","61728","8981",
"103","3534","239",
"104","54","63",
"105","4396","123",
"106","104","55",
"107","50","113",
"108","145","51",
"109","11328","1308",
"110","188","155",
"111","2592","2198",
"112","1235","53",
"113","772","248",
"114","1143","243",
"115","2359","603",
"116","2389","83",
"117","1624","811",
"118","7486","58",
"119","2133","7159",
"120","687","2705",
"121","487","68",
"122","228","224",
"123","108","112",
"124","2823","904",
"125","506","539",
"126","179","123",
"127","126","379",
"128","203","117",
"129","1356","470",
"130","390","78",
"131","98","105",
"132","159","331",
"133","64","74",
"134","5378","864",
"135","82","50",
"136","1273","255",
"137","740","441",
"138","58","145",
"139","115","66",
"140","90","145",
"141","553","128",
"142","1268","570",
"143","371","134",
"144","234","205",
"145","7893","517",
"146","3321","25765",
"147","1261","690",
"148","1450","143",
"149","863","50",
"150","50","136",
"151","430","138",
"152","1536","321",
"153","1208","94",
"154","337","88",
"155","90","119",
"156","952","390",
"157","7008","2037",
"158","115","69",
"159","1870","75",
"160","118","159",
"161","187","376",
"162","3274","299",
"163","74","287",
"164","180","68",
"165","98","79",
"166","186","179",
"167","127","69",
"168","108","57",
"169","1123","396",
"170","565","169",
"171","437","159",
"172","428","162",
"173","520","1756",
"174","2215","57",
"175","287","150",
"176","189","286",
"177","199","203",
"178","1579","156",
"179","1269","505",
"180","549","172",
"181","464","443",
"182","1603","400",
"183","13711","1257",
"184","665","146",
"185","144","97",
"186","387","341",
"187","255","504",
"188","6336","382",
"189","67","123",
"190","370","65",
"191","2340","153",
"192","2036","145",
"193","1026","104",
"194","7357","1422",
"195","485","127",
"196","288","265",
"197","233","585",
"198","162","113",
"199","113","71",
"200","967","1143",
"201","365","342",
"202","29096","16857",
"203","373","53",
"204","200","122",
"205","174","145",
"206","32411","115",
"207","794","511",
"208","58","409",
"209","2911","535",
"210","195","80",
"211","241","142",
"212","599","714",
"213","443","295",
"214","79","1877",
"215","521","266",
"216","186","185",
"217","5592","3941",
"218","1622","110",
"219","193","140",
"220","533","104",
"221","863","132",
"222","1290","204",
"223","124","51",
"224","450","5124",
"225","238","78",
"226","2752","108",
"227","469","92",
"228","1738","92",
"229","167","83",
"230","454","80",
"231","78","58",
"232","461","227",
"233","1626","394",
"234","461","205",
"235","7085","443",
"236","360","1000",
"237","536","66",
"238","101","125",
"239","522","91",
"240","209","140",
"241","56","112",
"242","249","141",
"243","3933","203",
"244","2440","183",
"245","1857","154",
"246","1671","59",
"247","537","491",
"248","1741","67",
"249","112671","11695",
"250","1742","157",
"251","4055","1037",
"252","916","535",
"253","1324","310",
"254","3706","329",
"255","21847","3451",
"256","2491","1753",
"257","90","791",
"258","715","177",
"259","302","85",
"260","100","432",
"261","85","128",
"262","28398","1704",
"263","931","302",
"264","5909","1034",
"265","5092","446",
"266","1595","145",
"267","456","106",
"268","66","50",
"269","3872","871",
"270","360","70",
"271","171","209",
"272","650","143",
"273","164","206",
"274","61","401",
"275","245","99",
"276","2603","784",
"277","143","186",
"278","6405","3273",
"279","2193","1251",
"280","144","325",
"281","526","2875",
"282","327","471",
"283","5385","708",
"284","791","383",
"285","56","139",
"286","411","356",
"287","3364","79",
"288","113","748",
"289","3665","106",
"290","309","164",
"291","269","81",
"292","173","167",
"293","188","208",
"294","712","142",
"295","229","497",
"296","30413","333",
"297","212","60",
"298","324","131",
"299","885","446",
"300","217","88",
"301","87","66",
"302","234","52",
"303","876","239",
"304","1561","359",
"305","1627","92",
"306","226","1048",
"307","84","52",
"308","242","170",
"309","1175","129",
"310","3018","1747",
"311","180","816",
"312","5070","314",
"313","156","190",
"314","583","59",
"315","1573","59",
"316","4955","2211",
"317","3147","838",
"318","1071","194",
"319","195","61",
