"ref_id","score_sim_lemm",
"0","3",
"1","1",
"2","3",
"3","4",
"4","0",
"5","0",
"6","5",
"7","0",
"8","2",
"9","3",
"10","4",
"11","3",
"12","0",
"13","2",
"14","2",
"15","2",
"16","2",
"17","1",
"18","1",
"19","4",
"20","0",
"21","2",
"22","0",
"23","2",
"24","1",
"25","1",
"26","2",
"27","2",
"28","1",
"29","0",
"30","0",
"31","0",
"32","1",
"33","0",
"34","0",
"35","1",
"36","2",
"37","0",
"38","0",
"39","0",
"40","0",
"41","0",
"42","2",
"43","0",
"44","0",
"45","3",
"46","3",
"47","0",
"48","0",
"49","3",
"50","0",
"51","0",
"52","1",
"53","2",
"54","1",
"55","2",
"56","0",
"57","1",
"58","1",
"59","3",
"60","0",
"61","1",
"62","4",
"63","0",
"64","6",
"65","0",
"66","2",
"67","0",
"68","2",
"69","3",
"70","4",
"71","0",
"72","3",
"73","5",
"74","4",
"75","1",
"76","2",
"77","0",
"78","1",
"79","2",
"80","2",
"81","2",
"82","0",
"83","0",
"84","1",
"85","2",
"86","2",
"87","0",
"88","3",
"89","0",
"90","0",
"91","3",
"92","10",
"93","0",
"94","0",
"95","9",
"96","0",
"97","5",
"98","3",
"99","5",
"100","0",
"101","0",
"102","7",
"103","3",
"104","0",
"105","1",
"106","1",
"107","0",
"108","2",
"109","3",
"110","3",
"111","2",
"112","2",
"113","3",
"114","0",
"115","3",
"116","2",
"117","3",
"118","0",
"119","6",
"120","5",
"121","1",
"122","4",
"123","1",
"124","2",
"125","2",
"126","0",
"127","1",
"128","0",
"129","2",
"130","0",
"131","1",
"132","1",
"133","3",
"134","2",
"135","2",
"136","0",
"137","1",
"138","0",
"139","0",
"140","0",
"141","0",
"142","2",
"143","2",
"144","6",
"145","0",
"146","3",
"147","3",
"148","0",
"149","0",
"150","0",
"151","2",
"152","1",
"153","1",
"154","3",
"155","2",
"156","1",
"157","2",
"158","4",
"159","0",
"160","4",
"161","1",
"162","2",
"163","2",
"164","0",
"165","1",
"166","1",
"167","0",
"168","0",
"169","1",
"170","0",
"171","2",
"172","0",
"173","3",
"174","0",
"175","0",
"176","0",
"177","2",
"178","0",
"179","3",
"180","1",
"181","5",
"182","2",
"183","0",
"184","1",
"185","1",
"186","0",
"187","0",
"188","1",
"189","0",
"190","0",
"191","0",
"192","0",
"193","5",
"194","1",
"195","0",
"196","2",
"197","1",
"198","0",
"199","1",
"200","0",
"201","0",
"202","4",
"203","0",
"204","2",
"205","2",
"206","0",
"207","3",
"208","0",
"209","3",
"210","1",
"211","2",
"212","5",
"213","5",
"214","0",
"215","5",
"216","1",
"217","4",
"218","0",
"219","1",
"220","1",
"221","0",
"222","3",
"223","0",
"224","0",
"225","1",
"226","0",
"227","0",
"228","0",
"229","0",
"230","2",
"231","2",
"232","0",
"233","4",
"234","1",
"235","2",
"236","0",
"237","4",
"238","0",
"239","2",
"240","1",
"241","0",
"242","2",
"243","2",
"244","1",
"245","3",
"246","0",
"247","4",
"248","0",
"249","4",
"250","0",
"251","0",
"252","2",
"253","0",
"254","2",
"255","5",
"256","1",
"257","2",
"258","2",
"259","1",
"260","1",
"261","1",
"262","3",
"263","0",
"264","4",
"265","6",
"266","1",
"267","0",
"268","0",
"269","4",
"270","4",
"271","1",
"272","1",
"273","0",
"274","4",
"275","1",
"276","4",
"277","0",
"278","2",
"279","2",
"280","0",
"281","2",
"282","0",
"283","1",
"284","0",
"285","0",
"286","1",
"287","2",
"288","2",
"289","0",
"290","0",
"291","1",
"292","5",
"293","0",
"294","1",
"295","0",
"296","1",
"297","0",
"298","2",
"299","0",
"300","0",
"301","0",
"302","0",
"303","2",
"304","2",
"305","0",
"306","4",
"307","0",
"308","1",
"309","0",
"310","2",
"311","4",
"312","2",
"313","0",
"314","0",
"315","0",
"316","1",
"317","3",
"318","1",
"319","0",
