"ref_id","score_sim_stemm",
"0","2",
"1","1",
"2","1",
"3","0",
"4","0",
"5","5",
"6","0",
"7","0",
"8","3",
"9","0",
"10","1",
"11","2",
"12","1",
"13","0",
"14","1",
"15","3",
"16","0",
"17","0",
"18","0",
"19","0",
"20","1",
"21","1",
"22","1",
"23","0",
"24","0",
"25","0",
"26","0",
"27","1",
"28","0",
"29","0",
"30","0",
"31","0",
"32","1",
"33","0",
"34","1",
"35","1",
"36","0",
"37","3",
"38","0",
"39","0",
"40","1",
"41","1",
"42","0",
"43","0",
"44","1",
"45","0",
"46","0",
"47","1",
"48","4",
"49","0",
"50","2",
"51","0",
"52","0",
"53","2",
"54","0",
"55","3",
"56","2",
"57","0",
"58","0",
"59","0",
"60","1",
"61","2",
"62","1",
"63","0",
"64","0",
"65","0",
"66","2",
"67","0",
"68","3",
"69","6",
"70","0",
"71","1",
"72","1",
"73","0",
"74","0",
"75","2",
"76","2",
"77","1",
"78","0",
"79","0",
"80","0",
"81","2",
"82","5",
"83","0",
"84","0",
"85","0",
"86","0",
"87","0",
"88","0",
"89","0",
"90","1",
"91","6",
"92","1",
"93","0",
"94","0",
"95","0",
"96","1",
"97","0",
"98","0",
"99","0",
"100","0",
"101","0",
"102","0",
"103","0",
"104","0",
"105","0",
"106","0",
"107","0",
"108","0",
"109","0",
"110","0",
"111","0",
"112","0",
"113","0",
"114","1",
"115","0",
"116","0",
"117","1",
"118","0",
"119","0",
"120","0",
"121","0",
"122","0",
"123","0",
"124","4",
"125","0",
"126","1",
"127","1",
"128","0",
"129","0",
"130","0",
"131","2",
"132","0",
"133","0",
"134","0",
"135","3",
"136","0",
"137","1",
"138","0",
"139","1",
"140","1",
"141","0",
"142","2",
"143","0",
"144","1",
"145","1",
"146","0",
"147","2",
"148","0",
"149","0",
"150","0",
"151","0",
"152","0",
"153","0",
"154","1",
"155","0",
"156","3",
"157","1",
"158","0",
"159","0",
"160","2",
"161","0",
"162","1",
"163","0",
"164","1",
"165","1",
"166","0",
"167","0",
"168","1",
"169","0",
"170","1",
"171","0",
"172","3",
"173","1",
"174","1",
"175","2",
"176","1",
"177","1",
"178","0",
"179","1",
"180","0",
"181","0",
"182","4",
"183","0",
"184","1",
"185","0",
"186","1",
"187","0",
"188","0",
"189","1",
"190","0",
"191","2",
"192","0",
"193","0",
"194","0",
"195","0",
"196","0",
"197","0",
"198","0",
"199","0",
"200","0",
"201","1",
"202","2",
"203","0",
"204","2",
"205","0",
"206","0",
"207","5",
"208","0",
"209","0",
"210","0",
"211","0",
"212","1",
"213","2",
"214","0",
"215","0",
